mvt	0.003035	0.002841	0.002582	0.002957	0.002859	0.002694	0.002650	0.002811	0.002719	0.002689	
atax	0.006583	0.001351	0.006603	0.001460	0.001425	0.001441	0.006546	0.012076	0.001371	0.001423	
3mm	0.336317	0.331904	0.333740	0.344571	0.326591	0.348643	0.328017	0.325013	0.329935	0.326517	
doitgen	6.124136	6.105322	6.105696	6.094665	6.345266	6.119447	6.114611	6.026210	6.111794	6.129962	
2mm	0.184230	0.183412	0.184966	0.183178	0.202010	0.189089	0.194074	0.183809	0.188832	0.194891	
bicg	0.001379	0.001467	0.001338	0.006520	0.001391	0.001310	0.001386	0.001323	0.001366	0.001295	
ludcmp	19.567384	19.607673	19.582064	19.579751	19.536427	19.626740	19.596716	19.670225	19.577365	19.714680	
trisolv	0.014836	0.009710	0.009752	0.009957	0.009641	0.009893	0.009972	0.009853	0.009913	0.009880	
lu	0.251587	0.252396	0.252946	0.253851	0.252177	0.249730	0.272085	0.251913	0.251117	0.253542	
durbin	0.010432	0.010453	0.010454	0.010500	0.010558	0.010791	0.010511	0.010531	0.010520	0.010515	
cholesky	0.187558	0.186258	0.185961	0.182917	0.186927	0.186273	0.185656	0.182346	0.186533	0.184903	
gramschmidt	1.183074	1.251779	1.226222	1.217611	1.283071	1.358540	1.243511	1.303952	1.223261	1.292358	
gemm	0.134959	0.126515	0.127042	0.136097	0.127183	0.127494	0.127888	0.146505	0.128644	0.128184	
trmm	0.026827	0.027193	0.026855	0.027054	0.028502	0.032740	0.027006	0.027028	0.027341	0.027124	
gesummv	0.002778	0.007812	0.002869	0.002724	0.002879	0.007723	0.002828	0.002815	0.002615	0.002666	
syrk	0.059476	0.071552	0.061837	0.064629	0.066073	0.060524	0.082703	0.066478	0.059402	0.059609	
symm	7.645608	7.675035	7.743436	7.723005	7.688735	7.787988	7.671854	7.722093	7.832698	7.745913	
syr2k	0.138115	0.131544	0.130848	0.142194	0.126309	0.151500	0.135219	0.137791	0.140100	0.130577	
gemver	0.004219	0.004293	0.004219	0.004291	0.004192	0.009494	0.004338	0.009350	0.004214	0.004371	
fdtd-2d	0.928849	0.850856	0.695220	0.724530	0.678673	0.648223	0.688214	0.712637	0.865427	0.720311	
seidel-2d	5.573131	5.591821	5.501126	5.579781	5.441678	5.620885	5.514772	5.612534	5.431549	5.603759	
heat-3d	4.412691	4.466573	4.419399	4.516747	4.484694	4.423230	4.414276	4.620321	4.448025	4.406438	
jacobi-1d	0.005644	0.012173	0.005401	0.021479	0.021542	0.011169	0.005487	0.011280	0.005520	0.005705	
jacobi-2d	0.472032	0.461044	0.481461	0.470281	0.460020	0.464805	0.466158	0.462496	0.458354	0.465834	
deriche	0.405578	0.404262	0.405860	0.400464	0.403438	0.405447	0.406367	0.402406	0.403319	0.403255	
floyd-warshall	74.882324	75.386684	74.675558	75.425861	75.327396	74.945849	74.521466	74.194529	74.987113	74.345292	
nussinov	0.586648	0.630638	0.581228	0.575339	0.642805	0.570983	0.568116	0.662509	0.583171	0.572539	
correlation	0.070290	0.075924	0.070194	0.069058	0.072133	0.072148	0.067721	0.064873	0.082106	0.059518	
covariance	0.072819	0.070544	0.066558	0.070037	0.072280	0.070106	0.069596	0.065356	0.073289	0.072307	
